HomeTeam,AwayTeam,B365H,B365D,B365A,form_dif,st_dif,FTH,poisson_df,ht_poisson_df,FTRT,y_pred,Profit,Bankroll,Proba
QPR,Southampton,4.75,3.6,1.85,0.4666666666666666,0.5,0.20462401106075737,0.29411764705882354,0.5,0,0,0.16091743119266066,94.29950917713705,0.24759213777923855
West Ham,Chelsea,10.0,5.0,1.33,0.3333333333333333,0.3478260869565218,0.09506790564689065,0.11764705882352941,0.5,0,0,-0.001974723538704537,94.29753445359835,0.16362587248363378
Leicester,West Ham,1.61,4.2,5.25,0.6666666666666666,0.3804347826086957,0.591715976331361,0.4117647058823529,0.5,0,1,-1.0,93.29753445359835,0.6466805020142198
Fulham,Liverpool,2.7,3.25,2.37,0.5333333333333333,0.20652173913043478,0.33669923283719105,0.29411764705882354,0.5833333333333334,0,0,0.3020240213523131,93.59955847495065,0.34476243976144993
Newcastle,Bournemouth,2.0,3.5,4.2,0.7333333333333334,0.48913043478260876,0.48837209302325585,0.4117647058823529,0.5,0,1,-1.0,92.59955847495065,0.5336107141909419
Bolton,Aston Villa,2.5,3.0,2.625,0.5,0.4347826086956522,0.358974358974359,0.35294117647058826,0.5833333333333334,1,0,-1.0,91.59955847495065,0.39608456789458674
Cardiff,Chelsea,8.0,4.75,1.44,0.3333333333333333,0.44565217391304346,0.1213626685592619,0.17647058823529413,0.5,0,0,0.04975767366720518,91.64931614861786,0.18719978808462098
Brighton,Man City,7.0,4.5,1.45,0.26666666666666666,0.32608695652173914,0.13544369486248053,0.29411764705882354,0.5,1,0,-1.0,90.64931614861786,0.18840751364013472
Liverpool,Fulham,1.29,5.0,13.0,0.9333333333333332,0.5869565217391305,0.7367943776921333,0.47058823529411764,0.5833333333333334,0,1,-1.0,89.64931614861786,0.7858659469676176
Cardiff,Everton,3.75,3.4,2.15,0.43333333333333335,0.33695652173913043,0.25993421637478886,0.17647058823529413,0.3333333333333333,0,0,0.25126126126126125,89.90057740987912,0.2915306744207421
West Ham,Everton,1.8,3.75,4.75,0.6333333333333333,0.5652173913043479,0.5379388448471122,0.4117647058823529,0.5833333333333334,1,1,0.8,90.70057740987912,0.6101492996845845
Newcastle,Aston Villa,1.62,3.75,6.0,0.8333333333333334,0.5108695652173914,0.5875440658049352,0.4117647058823529,0.5,0,1,-1.0,89.70057740987912,0.6431555764658079
Blackburn,Newcastle,2.0,3.4,3.8,0.4666666666666666,0.47826086956521746,0.47291361639824303,0.29411764705882354,0.5,1,1,1.0,90.70057740987912,0.5436697617464158
Swansea,Crystal Palace,2.63,3.4,2.88,0.3333333333333333,0.31521739130434784,0.3722005139043043,0.23529411764705882,0.5,1,0,-1.0,89.70057740987912,0.417664228104415
Stoke,Arsenal,4.0,3.6,2.0,0.4333333333333333,0.41304347826086957,0.24324324324324326,0.29411764705882354,0.4166666666666667,1,0,-1.0,88.70057740987912,0.27770898569396946
Crystal Palace,Everton,2.8,3.3,2.75,0.7333333333333334,0.4673913043478261,0.3488372093023256,0.47058823529411764,0.5,0,0,0.4249999999999998,89.12557740987913,0.36277903161055475
Brighton,Tottenham,2.9,4.0,2.2,0.43333333333333335,0.1739130434782609,0.3286034353995519,0.23529411764705882,0.5,1,0,-1.0,88.12557740987913,0.3431910400323253
Brentford,Leeds,2.1,3.5,3.4,0.6,0.4565217391304348,0.45092838196286467,0.4117647058823529,0.5,1,0,-1.0,87.12557740987913,0.4963232181206587
Portsmouth,Arsenal,4.5,3.5,1.83,0.4333333333333333,0.5652173913043478,0.21076011846001974,0.35294117647058826,0.5,0,0,0.14160412757973728,87.26718153745887,0.25922864708390236
Everton,Man City,4.5,3.75,1.85,0.3333333333333333,0.3478260869565218,0.21586931155192535,0.29411764705882354,0.5,0,0,0.1768973214285714,87.44407885888744,0.25262975946659705
Burnley,Man United,6.0,3.75,1.7,0.4000000000000001,0.3369565217391305,0.16314779270633398,0.29411764705882354,0.5833333333333334,0,0,0.11123853211009171,87.55531739099753,0.20279653851404483
