HomeTeam,AwayTeam,HPPG,APPG,FTH,FTDA,home_poisson,away_poisson,poisson_df,FTRT
Everton,Middlesbrough,1.0,0.5,0.38901395767672226,0.6109860423232778,0,0,0,1
Leeds,Man United,1.5,1.0,0.3252496433666191,0.6747503566333808,1,0,1,1
Sunderland,Fulham,0.5,0.5,0.4262295081967213,0.5737704918032787,0,0,0,0
West Brom,Southampton,1.5,0.0,0.39832869080779937,0.6016713091922006,1,0,1,1
Man City,Blackburn,3.0,1.5,0.4688643178797028,0.5311356821202973,0,0,0,0
Tottenham,West Ham,3.0,0.0,0.537421011405268,0.46257898859473184,4,0,4,1
Birmingham,Aston Villa,1.5,0.0,0.358974358974359,0.641025641025641,0,0,0,1
Arsenal,Bolton,3.0,1.5,0.7472826086956521,0.25271739130434784,4,0,4,1
Liverpool,West Brom,1.6666666666666667,1.0,0.7186932849364793,0.2813067150635209,3,1,2,1
Man United,Tottenham,2.0,1.3333333333333333,0.622192158464366,0.37780784153563407,0,0,0,1
Middlesbrough,Birmingham,2.3333333333333335,0.6666666666666666,0.537421011405268,0.46257898859473184,2,0,2,1
Newcastle,Sunderland,1.5,1.3333333333333333,0.5198950100910177,0.4801049899089822,1,0,1,1
Southampton,Charlton,1.6666666666666667,2.0,0.4482758620689655,0.5517241379310345,0,0,0,0
West Ham,Man City,0.3333333333333333,0.0,0.4262295081967213,0.5737704918032787,0,0,0,0
Aston Villa,Everton,2.0,1.0,0.48713951675759937,0.5128604832424006,0,0,0,1
Blackburn,Leeds,0.6666666666666666,2.0,0.3259052924791086,0.6740947075208913,0,3,-3,1
Fulham,Chelsea,3.0,2.3333333333333335,0.34188034188034183,0.6581196581196581,3,3,0,0
Birmingham,Newcastle,2.0,0.3333333333333333,0.3418130709768096,0.6581869290231904,2,0,2,0
Bolton,Southampton,1.0,0.0,0.4482758620689655,0.5517241379310345,1,0,1,0
Charlton,Man United,0.0,0.6666666666666666,0.199084628002796,0.800915371997204,0,2,-2,0
Chelsea,West Ham,1.6666666666666667,0.0,0.5721821558722107,0.42781784412778934,5,0,5,0
Everton,Fulham,1.6666666666666667,1.3333333333333333,0.39832869080779937,0.6016713091922006,1,2,-1,1
Leeds,Arsenal,2.0,1.6666666666666667,0.29836065573770487,0.701639344262295,0,0,0,0
Man City,Liverpool,2.3333333333333335,2.3333333333333335,0.3190539937527889,0.680946006247211,1,1,0,0
Sunderland,Aston Villa,0.3333333333333333,0.0,0.37660485021398005,0.6233951497860201,0,0,0,1
Tottenham,Middlesbrough,3.0,0.3333333333333333,0.48713951675759937,0.5128604832424006,1,0,1,0
West Brom,Blackburn,2.0,1.3333333333333333,0.3453237410071942,0.6546762589928057,0,0,0,0
Middlesbrough,Bolton,2.5,1.0,0.5825037068417708,0.4174962931582291,2,0,2,1
Newcastle,West Brom,2.0,0.75,0.641025641025641,0.3589743589743589,3,0,3,1
Southampton,Man City,1.5,0.25,0.38901395767672226,0.6109860423232778,0,0,0,1
West Ham,Birmingham,0.5,0.5,0.5181471354996935,0.4818528645003065,0,0,0,0
Arsenal,Sunderland,3.0,1.0,0.7680780324311549,0.23192196756884503,2,0,2,1
Aston Villa,Leeds,2.25,1.5,0.3453237410071942,0.6546762589928057,1,0,1,0
Blackburn,Tottenham,1.25,1.0,0.4262295081967213,0.5737704918032787,1,1,0,0
Fulham,Charlton,2.3333333333333335,1.75,0.537421011405268,0.46257898859473184,1,0,1,1
Liverpool,Chelsea,2.0,2.0,0.5181471354996935,0.4818528645003065,2,1,1,1
